"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"21359234121","","","2010-08-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FlorGorini Gracias, te quiero mucho, y no sabes cuanto.","","","",""
"21230116208","","","2010-08-15 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Es momento de quedarse y explotar","","","",""
"21034084798","","","2010-08-13 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GRACIAS L, un objetivo mas =)","","","",""
"20636633909","","","2010-08-08 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Dame tantas rosas como espinas me clavé...""","","","",""
"20638746344","","","2010-08-08 00:00:00 +0000","<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","CANDE TE AMO...feliz dia http://twitpic.com/2cun2r","","","",""
"20639506024","20637670097","124247148","2010-08-08 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@irene_chu mañana hay q sacar la entrada","","","",""
"20641228665","","","2010-08-08 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","http://twitpic.com/2cuzc3","","","",""
"20648001162","","","2010-08-08 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Copi_Corellano: será invitado de VOX DEI.Esta noche 20hs,Club Tucumán de Quilmes.
www.vuenosairez.com/agenda/vox-dei-en-quilmes/53253","","","",""
"20513362549","","","2010-08-07 00:00:00 +0000","<a href=""http://www.tweets60.com/"" rel=""nofollow"">Tweets60</a>","=)","","","",""
"20585719116","","61871136","2010-08-07 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce Que anti futbol q sos coty, besos","","","",""
"20305165318","","61871136","2010-08-04 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce Feliz cumple","","","",""
"20075207562","","","2010-08-01 00:00:00 +0000","<a href=""http://www.tweets60.com/"" rel=""nofollow"">Tweets60</a>","y la magia en tus ojos...","","","",""
"19957514730","","","2010-07-31 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Como lo permitimos que los que hicimos tan mal, fue este orgullo desgraciado? que nos supimos tragar.","","","",""
"19957718456","","","2010-07-31 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@AnalithGomez ""hay cercos invisibles para doctrinas increibles
pequeños catecismos para onanistas de abadia.""","","","",""
"19985677208","","","2010-07-31 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@AnalithGomez gracias x la invitación. ""Mujeres: son metales en estado de algodón.""","","","",""
"19985732386","","","2010-07-31 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@FlorGorini nena te quiero, y gracias!","","","",""
"19985843266","","72781951","2010-07-31 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@3deellos necesito 2 entradas para hoy, copensé! saludos","","","",""
"19856729027","","","2010-07-29 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quizas mañana salga el sol","","","",""
"19476383530","19443226688","61871136","2010-07-25 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce No pude, colgue","","","",""
"19512267180","19511848522","127669685","2010-07-25 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@GeorgiFernandez para estar en la cama, acompañado si es posible","","","",""
"19521000385","","","2010-07-25 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Cuanto tiempo perdemos en un sueño tan real? sin reaccionar.""","","","",""
"19399443447","19398181516","145741959","2010-07-24 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@rosalesmanu JAJAJAJAJAJA sos un groso","","","",""
"19273319539","","","2010-07-23 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Maldita Suerte.""","","","",""
"18902666310","","","2010-07-19 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""canto xq me levanto siempre con las mismas fuerzas. Con las heridas abiertas q siguen sin cicatrizar."" soñe con vos y nadie mas.","","","",""
"18801646935","18771101349","61871136","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce donde era kika?","","","",""
"18816731437","","","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Las consecuencias son inevitables.""","","","",""
"18816783897","","168019007","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Lagranlali no hay negocio, solo hay paz","","","",""
"18822385777","18806472032","145741959","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@rosalesmanu Daleee manolo te sobra noche a vos","","","",""
"18828735279","","","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Gabdivia: "" Encontré al lado del camino el sendero oculto, jamás lo recorrí y hoy he llegado al final . . . ""","","","",""
"18829851121","18829383075","61871136","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce Jamas","","","",""
"18830194400","18829950979","61871136","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce Preguntale, ves cara de lechuza","","","",""
"18853734127","","","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""de lo q quede de mi, te llevo un poco.""","","","",""
"18856283709","","","2010-07-18 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cuando mas queres, no te pasa, es ley.","","","",""
"18761559250","","","2010-07-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""No tengo dueño, no soy tu esclavo, un poco tuyo y de todo el mundo"" me hicieron asustar. LO SABES HIJA DE UNA REINA","","","",""
"18770956000","18574330015","61871136","2010-07-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce Yo soy tu luz jajaja","","","",""
"18771619415","18771101349","61871136","2010-07-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce Escribo no hablo, era una joda tarada","","","",""
"18787538899","","","2010-07-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hay otras formas de huir....","","","",""
"18789727880","","124247148","2010-07-17 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@irene_chu holaaaa","","","",""
